date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2018-07-20,sh.601318,58.6000,61.6100,58.2300,60.8400,58.7100,106935078,6433573521.0000,3,0.987154,1,3.628004,0
2018-07-23,sh.601318,60.3500,61.6000,60.2500,61.0800,60.8400,80457337,4898411219.0000,3,0.742729,1,0.394480,0
2018-07-24,sh.601318,61.0600,63.0000,61.0300,61.7400,61.0800,83684707,5207884860.0000,3,0.772522,1,1.080550,0
2018-07-25,sh.601318,62.2300,62.2400,61.4000,62.1600,61.7400,40900624,2529701219.0000,3,0.377568,1,0.680269,0
2018-07-26,sh.601318,62.2800,62.4800,60.6800,60.8000,62.1600,48259331,2960086715.0000,3,0.445498,1,-2.187903,0
2018-07-27,sh.601318,60.9800,61.3300,60.5700,60.8700,60.8000,33417159,2037644574.0000,3,0.308485,1,0.115131,0
2018-07-30,sh.601318,60.9000,61.9200,60.7500,61.5600,60.8700,37637018,2303730924.0000,3,0.347440,1,1.133567,0
2018-07-31,sh.601318,61.6000,61.8900,60.8200,61.6000,61.5600,26069859,1600697232.0000,3,0.240660,1,0.064973,0
2018-08-01,sh.601318,61.8000,62.4100,59.6200,59.7000,61.6000,56343432,3440050571.0000,3,0.520125,1,-3.084412,0
2018-08-02,sh.601318,59.4100,59.4900,57.8000,58.2600,59.7000,64680428,3782255927.0000,3,0.597087,1,-2.412064,0
2018-08-03,sh.601318,58.4300,58.7600,57.7800,57.8200,58.2600,36208330,2109021439.0000,3,0.334251,1,-0.755233,0
2018-08-06,sh.601318,57.8100,58.8600,57.3600,57.8300,57.8200,41978566,2438442832.0000,3,0.387518,1,0.017299,0
2018-08-07,sh.601318,58.1100,59.6000,57.9600,59.5600,57.8300,56186121,3306492624.0000,3,0.518673,1,2.991526,0
2018-08-08,sh.601318,59.5500,59.7000,58.1900,58.3800,59.5600,41210911,2426952929.0000,3,0.380432,1,-1.981196,0
2018-08-09,sh.601318,58.3800,60.9900,58.1800,60.6200,58.3800,63543307,3820214646.0000,3,0.586590,1,3.836927,0
